"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00201502","1978-09-06","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-07","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-08","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-09","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-10","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-11","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-12","42.3263","-84.0133","274.3","CHELSEA, MI US","   89",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-13","42.3263","-84.0133","274.3","CHELSEA, MI US","  160",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-14","42.3263","-84.0133","274.3","CHELSEA, MI US","   48",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-15","42.3263","-84.0133","274.3","CHELSEA, MI US","  145",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-16","42.3263","-84.0133","274.3","CHELSEA, MI US","   43",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-17","42.3263","-84.0133","274.3","CHELSEA, MI US","  198",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-18","42.3263","-84.0133","274.3","CHELSEA, MI US","   76",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-19","42.3263","-84.0133","274.3","CHELSEA, MI US","    5",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-20","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-21","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-22","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-23","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-24","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-25","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-26","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-27","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-28","42.3263","-84.0133","274.3","CHELSEA, MI US","   25",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-29","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-30","42.3263","-84.0133","274.3","CHELSEA, MI US","   43",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-10-01","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-10-02","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
