"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00200842","2002-01-04","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","    0",",,0"," -117",",,0",,,,,,,"  -83",",,0,0700",,
"USC00200842","2002-01-05","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   33",",,0","  -83",",,0",,,,,,,"  -33",",,0,0700",,
"USC00200842","2002-01-06","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   20",",,0,0700","   20",",,0","   25",",,0","   28",",,0","  -33",",,0",,,,,,,"  -11",",,0,0700",,
"USC00200842","2002-01-07","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","   25",",,0","   11",",,0","  -67",",,0",,,,,,,"  -67",",,0,0700",,
"USC00200842","2002-01-08","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   22",",,0","  -61",",,0",,,,,,,"   22",",,0,0700",,
"USC00200842","2002-01-09","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   22",",,0","  -61",",,0",,,,,,,"   22",",,0,0700",,
"USC00200842","2002-01-10","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","  106",",,0","   -6",",,0",,,,,,,"   -6",",,0,0700",,
"USC00200842","2002-01-11","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   22",",,0","   -6",",,0",,,,,,,"   22",",,0,0700",,
"USC00200842","2002-01-12","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   44",",,0","  -33",",,0",,,,,,,"  -17",",,0,0700",,
"USC00200842","2002-01-13","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","   25",",,0","   50",",,0","  -39",",,0",,,,,,,"  -11",",,0,0700",,
"USC00200842","2002-01-14","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0",,,"   44",",,0","   -6",",,0",,,,,,,"    0",",,0,0700",,
"USC00200842","2002-01-15","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","   25",",,0","   83",",,0","    0",",,0",,,,,,,"    6",",,0,0700",,
"USC00200842","2002-01-16","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    8",",,0,0700","    0",",,0","    0",",,0","   17",",,0","  -22",",,0",,,,,,,"  -11",",,0,0700",,
"USC00200842","2002-01-17","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    8",",,0,0700","   13",",,0","   25",",,0","   22",",,0","  -22",",,0",,,,,,,"  -22",",,0,0700",,
"USC00200842","2002-01-18","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","   25",",,0","   -6",",,0","  -67",",,0",,,,,,,"  -67",",,0,0700",,
"USC00200842","2002-01-19","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","  -11",",,0","  -89",",,0",,,,,,,"  -72",",,0,0700",,
"USC00200842","2002-01-20","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","    6",",,0","  -72",",,0",,,,,,,"  -22",",,0,0700",,
"USC00200842","2002-01-21","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   22",",,0","  -39",",,0",,,,,,,"   -6",",,0,0700",,
"USC00200842","2002-01-22","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   33",",,0","  -61",",,0",,,,,,,"  -33",",,0,0700",,
"USC00200842","2002-01-23","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","  122",",,0","  -33",",,0",,,,,,,"   56",",,0,0700",,
"USC00200842","2002-01-24","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   38",",,0,0700","    0",",,0","    0",",,0","   94",",,0","   17",",,0",,,,,,,"   17",",,0,0700",,
"USC00200842","2002-01-25","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0","T,,0,0700","    0","P,,0","    0","P,,0","   17",",,0","  -44",",,0",,,,,,,"  -33",",,0,0700",,
"USC00200842","2002-01-26","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   67",",,0","  -39",",,0",,,,,,,"   -6",",,0,0700",,
"USC00200842","2002-01-27","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  111",",,0","  -11",",,0",,,,,,,"   -6",",,0,0700",,
"USC00200842","2002-01-28","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  133",",,0","  -11",",,0",,,,,,,"   11",",,0,0700",,
"USC00200842","2002-01-29","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  144",",,0","   11",",,0",,,,,,,"   56",",,0,0700",,
"USC00200842","2002-01-30","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","  249",",,0,0700","    0","P,,0","    0","P,,0","   61",",,0","    0",",,0",,,,,,,"    0",",,0,0700",,
"USC00200842","2002-01-31","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","  262",",,0,0700","   13",",,0","    0","P,,0",,,,,,,,,,,,,,
"USC00200842","2002-02-01","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","  282",",,0,0700","    0","P,,0","    0","P,,0","   28",",,0","   -6",",,0",,,,,,,"   17",",,0,0700",,
"USC00200842","2002-02-02","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   28",",,0","  -44",",,0",,,,,,,"  -33",",,0,0700",,
"USC00200842","2002-02-03","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   17",",,0","  -33",",,0",,,,,,,"   -6",",,0,0700",,
"USC00200842","2002-02-04","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   28",",,0","  -67",",,0",,,,,,,"  -67",",,0,0700",,
"USC00200842","2002-02-05","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","    6",",,0","  -94",",,0",,,,,,,"  -89",",I,0,0700",,
"USC00200842","2002-02-06","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   17",",,0","  -67",",I,0",,,,,,,"  -22",",,0,0700",,
"USC00200842","2002-02-07","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   56",",,0","  -39",",,0",,,,,,,"  -33",",,0,0700",,
"USC00200842","2002-02-08","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   44",",,0","  -39",",,0",,,,,,,"   -6",",,0,0700",,
"USC00200842","2002-02-09","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   89",",,0","  -17",",,0",,,,,,,"   17",",,0,0700",,
"USC00200842","2002-02-10","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0","T,,0,0700","    0","P,,0","    0","P,,0","  100",",,0","    6",",,0",,,,,,,"   67",",,0,0700",,
"USC00200842","2002-02-11","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   23",",,0,0700","    0","P,,0","    0",",,0","  106",",,0","  -67",",,0",,,,,,,"  -61",",,0,0700",,
"USC00200842","2002-02-12","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   33",",,0","  -61",",,0",,,,,,,"   33",",,0,0700",,
"USC00200842","2002-02-13","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    3",",,0,0700","    5",",,0","    0","P,,0","   61",",,0","  -89",",,0",,,,,,,"  -56",",,0,0700",,
"USC00200842","2002-02-14","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","    6",",,0","  -67",",,0",,,,,,,"  -22",",,0,0700",,
"USC00200842","2002-02-15","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   67",",,0","  -67",",,0",,,,,,,"   22",",,0,0700",,
"USC00200842","2002-02-16","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  106",",,0","   -6",",,0",,,,,,,"    0",",,0,0700",,
"USC00200842","2002-02-17","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    3",",,0,0700","    0","P,,0","    0","P,,0","   33",",,0","  -28",",,0",,,,,,,"  -17",",,0,0700",,
"USC00200842","2002-02-18","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   22",",,0","  -72",",,0",,,,,,,"  -72",",,0,0700",,
"USC00200842","2002-02-19","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   33",",,0","  -72",",,0",,,,,,,"    0",",,0,0700",,
"USC00200842","2002-02-20","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   18",",,0,0700","    0","P,,0","    0","P,,0","   83",",,0","    0",",,0",,,,,,,"   78",",,0,0700",,
"USC00200842","2002-02-21","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   38",",,0,0700","    5",",,0","    0",",,0","  133",",,0","   17",",,0",,,,,,,"   17",",,0,0700",,
"USC00200842","2002-02-22","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   10",",,0,0700","    0","P,,0","    0",",,0","   33",",,0","  -33",",,0",,,,,,,"  -33",",,0,0700",,
"USC00200842","2002-02-23","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   22",",,0","  -78",",,0",,,,,,,"  -17",",,0,0700",,
"USC00200842","2002-02-24","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","   50",",,0","  -22",",,0",,,,,,,"   39",",,0,0700",,
"USC00200842","2002-02-25","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","  122",",,0","  -22",",,0",,,,,,,"   39",",,0,0700",,
"USC00200842","2002-02-26","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","  188",",,0,0700","   91",",,0","  102",",,0","  150",",,0","  -22",",,0",,,,,,,"  -17",",,0,0700",,
"USC00200842","2002-02-27","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   13",",,0,0700","   28",",,0","  127",",,0","    6",",,0","  -72",",,0",,,,,,,"  -67",",,0,0700",,
"USC00200842","2002-02-28","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   13",",,0,0700","    3",",,0","  127",",,0","   -6",",,0"," -122",",,0",,,,,,," -111",",,0,0700",,
